timestamp string,wind direction,wind speed
202201010009,198.0,4.0
202201010158,207.0,6.3
202201010208,229.0,4.9
202201010228,229.0,5.8
202201010617,210.0,7.6
202201010627,231.0,7.2
202201010706,235.0,8.5
202201010746,214.0,7.2
202201010756,236.0,7.6
202201010826,231.0,6.7
202201011304,221.0,7.2
202201011534,240.0,9.4
202201011553,215.0,9.4
202201011653,204.0,10.7
202201011703,231.0,7.2
202201011733,233.0,5.4
202201011833,240.0,7.6
202201020349,13.0,3.1
202201020359,,0.0
202201020419,,0.0
202201020559,309.0,2.2
202201020648,,0.0
202201020708,298.0,1.8
202201022054,20.0,3.1
202201022353,338.0,4.9
202201030043,323.0,8.9
202201030123,312.0,6.7
202201030601,330.0,8.0
202201030621,315.0,5.8
202201030631,330.0,10.3
202201031050,322.0,6.3
202201031408,305.0,5.8
202201032226,46.0,2.2
202201040832,51.0,2.2
202201040952,,0.0
202201041041,,0.0
202201041051,,0.0
202201041101,,0.0
202201041121,,0.0
202201041141,,0.0
202201041151,,0.0
202201041201,,0.0
202201041251,,0.0
202201041320,,0.0
202201042138,219.0,6.3
202201042158,211.0,4.0
202201050336,210.0,5.8
202201060318,32.0,2.7
202201060357,,0.0
202201060417,34.0,2.2
202201060527,66.0,3.1
202201060537,46.0,3.1
202201060547,51.0,3.6
202201060607,58.0,4.0
202201060617,70.0,3.1
202201060627,58.0,3.1
202201060646,76.0,3.6
202201060906,62.0,3.6
202201060916,46.0,4.9
202201061534,69.0,4.5
202201061723,24.0,4.5
202201070011,346.0,5.8
202201070021,350.0,4.9
202201070230,21.0,6.3
202201070250,340.0,3.1
202201070310,340.0,5.4
202201070409,335.0,4.0
202201070539,3.0,3.6
202201071217,41.0,4.9
202201071615,45.0,4.5
202201071825,24.0,0.4
202201071924,319.0,1.3
202201071944,176.0,1.8
202201072014,,0.0
202201072233,65.0,1.8
202201080003,45.0,2.7
202201080023,58.0,3.1
202201080342,39.0,2.7
202201080531,91.0,3.6
202201080631,120.0,2.2
202201080900,90.0,1.3
202201080910,,0.0
202201081149,,0.0
202201081229,128.0,2.2
202201081548,188.0,6.7
202201090045,218.0,6.7
