Model,Mean Accuracy,Std Accuracy,Mean F1-Score,Std F1-Score,Best Fold Acc,Worst Fold Acc,Parameters,Model ID
ViT-Large,0.6559,0.0220,0.6454,0.0321,0.6731,0.6311,"303,693,827",google/vit-large-patch16-384
ConvNeXt-Large,0.6045,0.0532,0.5707,0.0426,0.6538,0.5481,"196,234,947",facebook/convnext-large-384
Swin-V2-Large,0.6236,0.0779,0.6210,0.0689,0.7115,0.5631,"195,207,543",microsoft/swinv2-large-patch4-window12-192-22k
DINOv2-Large,0.5788,0.0386,0.5830,0.0382,0.6154,0.5385,"304,374,787",facebook/dinov2-large
