fold,best_epoch,val_accuracy,val_f1_score,val_loss
1,7,0.7872340425531915,0.7843078906908695,0.7094548630217711
2,6,0.717391304347826,0.7040828422997802,0.736210917433103
3,13,0.8260869565217391,0.8291785574394269,0.4245104379951954
