Model,Mean Accuracy,Std Accuracy,Mean F1-Score,Std F1-Score,Best Fold Acc,Worst Fold Acc,Parameters,Model ID
ViT-Large,0.6432,0.0575,0.6306,0.0456,0.6796,0.5769,"303,693,827",google/vit-large-patch16-384
ConvNeXt-Large,0.6238,0.0445,0.6161,0.0393,0.6731,0.5865,"196,234,947",facebook/convnext-large-384
Swin-V2-Large,0.6432,0.0236,0.6265,0.0248,0.6699,0.6250,"195,207,543",microsoft/swinv2-large-patch4-window12-192-22k
DINOv2-Large,0.6366,0.0245,0.6245,0.0288,0.6635,0.6154,"304,374,787",facebook/dinov2-large
